002007 华兰生物 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/11/2007	5.36	5.85	5.36	5.63	1745174	41348256.000
01/12/2007	5.61	5.88	5.31	5.39	1269894	30560866.000
01/15/2007	5.32	5.59	5.27	5.58	1381514	32239644.000
01/16/2007	5.59	6.22	5.59	6.22	3315928	83795240.000
01/17/2007	6.22	6.93	5.98	6.47	2590462	70143904.000
01/18/2007	6.44	7.00	6.28	6.87	2305787	64559716.000
01/19/2007	7.10	7.61	7.02	7.45	2815315	86302296.000
01/22/2007	7.56	8.24	7.50	7.94	1918402	62244868.000
01/23/2007	7.99	7.99	7.15	7.18	2332612	70438256.000
01/24/2007	7.06	7.42	6.74	7.36	2188923	63057344.000
01/25/2007	7.15	7.15	6.54	6.85	1231428	35099212.000
01/26/2007	6.72	7.15	6.55	7.02	1120541	31624040.000
01/29/2007	7.02	7.18	6.89	7.09	1182218	34447480.000
01/30/2007	7.10	7.15	6.93	7.02	746880	21732210.000
01/31/2007	7.02	7.27	6.72	7.18	1424891	41535572.000
02/01/2007	6.85	7.26	6.85	7.25	814098	23841176.000
02/02/2007	7.15	7.42	6.98	7.29	2294238	68829904.000
02/05/2007	7.26	7.36	7.10	7.13	674690	19964206.000
02/06/2007	7.11	7.15	6.88	7.03	1435503	41559892.000
02/07/2007	7.02	7.15	6.84	6.88	1890090	54272044.000
02/08/2007	6.76	7.02	6.36	6.88	2508448	68852872.000
02/09/2007	6.72	6.99	6.61	6.98	662463	18796632.000
02/12/2007	6.98	7.61	6.89	7.56	1088827	32426356.000
02/13/2007	7.51	7.59	7.29	7.52	609230	18673464.000
02/14/2007	7.55	8.09	7.44	8.03	748241	23693408.000
02/15/2007	7.99	8.22	7.85	8.06	775094	25600174.000
02/16/2007	8.10	8.10	7.97	8.08	659623	21674610.000
02/26/2007	8.10	8.10	7.83	7.86	219244	7060837.000
02/27/2007	7.83	7.83	6.99	6.99	729894	21520482.000
02/28/2007	7.18	7.55	6.93	7.48	1168051	34183976.000
03/01/2007	7.45	7.45	6.96	7.28	743875	22045106.000
03/02/2007	7.38	7.39	7.16	7.20	251995	7526171.000
03/05/2007	7.20	7.34	6.70	7.18	676802	19630910.000
03/06/2007	7.02	7.18	6.85	7.14	140661	4078510.750
03/07/2007	7.12	7.23	6.96	7.22	391265	11516160.000
03/08/2007	7.45	7.45	7.21	7.37	408434	12344595.000
03/09/2007	7.29	7.77	7.29	7.69	845564	26241368.000
03/12/2007	7.82	8.14	7.69	7.85	695467	22564388.000
03/13/2007	7.86	8.13	7.86	8.05	853188	28114344.000
03/14/2007	8.10	8.50	7.69	8.45	849240	28649552.000
03/15/2007	8.43	9.05	8.26	8.91	1068516	37733684.000
03/16/2007	9.46	9.89	8.91	9.09	2840805	108548728.000
03/19/2007	8.65	9.38	8.65	8.79	1061367	38457520.000
03/20/2007	8.91	9.05	8.54	8.73	1292826	46028664.000
03/21/2007	8.70	8.81	8.59	8.75	516858	18324936.000
03/22/2007	8.78	8.91	8.65	8.83	775608	27476316.000
03/23/2007	8.78	8.90	8.64	8.88	748293	26599906.000
03/26/2007	8.83	9.02	8.64	9.02	603621	21465288.000
03/27/2007	9.02	9.02	8.70	9.02	733982	26197656.000
03/28/2007	8.92	8.92	8.67	8.91	1030684	36885228.000
03/29/2007	8.91	8.92	8.55	8.64	643288	22656272.000
03/30/2007	8.56	8.78	8.24	8.62	1569592	54053388.000
04/02/2007	8.62	8.75	8.39	8.59	551627	19124402.000
04/03/2007	8.59	8.64	8.46	8.64	521600	18081888.000
04/04/2007	8.64	8.80	8.52	8.68	555014	19574760.000
04/05/2007	8.78	8.78	8.54	8.78	557005	19543624.000
04/06/2007	8.76	8.79	8.64	8.78	1107092	39227764.000
04/09/2007	8.77	9.37	8.77	9.05	1473443	53917940.000
04/10/2007	9.15	9.86	8.91	9.67	1639921	61942844.000
04/11/2007	9.46	9.99	9.46	9.86	962242	37510432.000
04/13/2007	10.14	10.27	9.38	9.97	1844360	72665840.000
04/16/2007	9.59	9.85	9.51	9.77	951788	36976064.000
04/17/2007	9.67	9.83	9.10	9.43	1036975	39129320.000
04/18/2007	9.32	9.34	9.10	9.28	2218474	82282592.000
04/19/2007	9.27	9.62	8.92	9.05	1265250	47731340.000
04/20/2007	9.07	9.32	8.98	9.16	1346350	49562672.000
04/23/2007	9.24	9.61	9.17	9.59	2337862	87989888.000
04/24/2007	9.70	9.72	9.44	9.49	1186174	45426224.000
04/25/2007	9.36	9.59	9.20	9.32	1076779	40584948.000
04/26/2007	9.32	9.40	9.19	9.20	619802	23044924.000
